item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
69208026,BESTÅ,Bookcases & shelving units,1725.0,No old price,True,https://www.ikea.com/sa/en/p/besta-storage-combination-with-doors-black-brown-lappviken-sindvik-black-brown-clear-glass-s69208026/,Yes,"        Storage combination with doors,          180x42x112 cm",IKEA of Sweden/Marcus Arvonen,42.0,112.0,180.0
49306315,PAX,Wardrobes,3222.0,"SR 3,435",True,https://www.ikea.com/sa/en/p/pax-wardrobe-black-brown-uggdal-grey-glass-s49306315/,No,"        Wardrobe,          150x66x236 cm",IKEA of Sweden/Ehlén Johansson,66.0,236.0,150.0
29277352,ALGOT,Bookcases & shelving units,183.6,SR 266,True,https://www.ikea.com/sa/en/p/algot-wall-upright-shelves-s29277352/,No,"        Wall upright/shelves,          66x41/61x197 cm",Francis Cayouette,,197.0,66.0
395209,ODDBJÖRG,Chairs,28.0,SR 35,True,https://www.ikea.com/sa/en/p/oddbjoerg-chair-pad-grey-00395209/,No,"        Chair pad,          35 cm",IKEA of Sweden,,,
70328669,LIXHULT,Cabinets & cupboards,175.0,No old price,True,https://www.ikea.com/sa/en/p/lixhult-cabinet-metal-grey-70328669/,No,"        Cabinet,          60x35 cm",Jon Karlsson,35.0,35.0,60.0
50087072,LIATORP,Tables & desks,645.0,No old price,True,https://www.ikea.com/sa/en/p/liatorp-coffee-table-white-glass-50087072/,No,"        Coffee table,          93x93 cm",Carina Bengs,,51.0,93.0
39283003,BROR,Bookcases & shelving units,855.0,No old price,True,https://www.ikea.com/sa/en/p/bror-shelving-unit-with-cabinet-black-s39283003/,No,"        Shelving unit with cabinet,          85x40x190 cm",IKEA of Sweden,40.0,190.0,85.0
10460888,SMÅGÖRA,Children's furniture,495.0,No old price,True,https://www.ikea.com/sa/en/p/smagoera-wardrobe-white-10460888/,No,"        Wardrobe,          80x50x187 cm",IKEA of Sweden,50.0,187.0,80.0
49221298,EKEDALEN / LEIFARNE,Chairs,1575.0,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-leifarne-table-and-4-chairs-dark-brown-white-s49221298/,No,"        Table and 4 chairs,          120/180 cm",Mia Lagerman/Ehlén Johansson,,,
99262432,SJÄLLAND,Outdoor furniture,380.0,SR 475,True,https://www.ikea.com/sa/en/p/sjaelland-table-outdoor-light-brown-light-grey-s99262432/,No,"        Table, outdoor,          71x71x73 cm",David Wahl,,73.0,71.0
69281804,BILLY / OXBERG,Bookcases & shelving units,915.0,No old price,True,https://www.ikea.com/sa/en/p/billy-oxberg-bookcase-with-glass-doors-white-s69281804/,Yes,"        Bookcase with glass-doors,          120x30x202 cm",Gillis Lundgren,30.0,202.0,120.0
30248537,SNIGLAR,Beds,295.0,No old price,True,https://www.ikea.com/sa/en/p/sniglar-cot-beech-30248537/,No,"        Cot,          60x120 cm",IKEA of Sweden,,80.0,66.0
40399314,KLIPPAN,Sofas & armchairs,1295.0,No old price,True,https://www.ikea.com/sa/en/p/klippan-2-seat-sofa-bomstad-black-40399314/,No,        2-seat sofa,IKEA of Sweden,88.0,66.0,177.0
59254165,INGATORP / INGOLF,Tables & desks,2725.0,No old price,True,https://www.ikea.com/sa/en/p/ingatorp-ingolf-table-and-4-chairs-white-nordvalla-beige-s59254165/,No,"        Table and 4 chairs,          110/155 cm",Ebba Strandmark/Carina Bengs,,74.0,87.0
90471581,KORNSJÖ,Chairs,375.0,No old price,True,https://www.ikea.com/sa/en/p/kornsjoe-storage-bench-black-90471581/,No,        Storage bench,Ebba Strandmark,47.0,51.0,70.0
347888,EDVALLA,TV & media furniture,25.0,No old price,True,https://www.ikea.com/sa/en/p/edvalla-drop-handle-black-00347888/,No,"        Drop handle,          18 mm",Francis Cayouette,11.0,,33.0
59184441,SVALNÄS,Bookcases & shelving units,2605.0,No old price,True,https://www.ikea.com/sa/en/p/svalnaes-wall-mounted-storage-combination-bamboo-white-s59184441/,No,"        Wall-mounted storage combination,          297x35x176 cm",Jon Karlsson,35.0,176.0,297.0
70264460,HÅLLÖ,Outdoor furniture,149.0,No old price,True,https://www.ikea.com/sa/en/p/halloe-seat-back-cushion-outdoor-black-70264460/,No,"        Seat/back cushion, outdoor,          116x47 cm",IKEA of Sweden,,,47.0
99279588,STUVA / FRITIDS,Chests of drawers & drawer units,375.0,No old price,True,https://www.ikea.com/sa/en/p/stuva-fritids-toy-storage-with-wheels-white-light-blue-s99279588/,Yes,"        Toy storage with wheels,          60x50x64 cm",Ebba Strandmark/IKEA of Sweden,50.0,64.0,60.0
30439457,NIKKEBY,Tables & desks,295.0,No old price,True,https://www.ikea.com/sa/en/p/nikkeby-chest-of-2-drawers-grey-green-30439457/,No,"        Chest of 2 drawers,          46x70 cm",L Hilland/J Karlsson,49.0,70.0,46.0
39305873,PAX,Wardrobes,3905.0,No old price,True,https://www.ikea.com/sa/en/p/pax-wardrobe-brown-stained-ash-effect-uggdal-grey-glass-s39305873/,No,"        Wardrobe,          200x66x236 cm",IKEA of Sweden/Ehlén Johansson,66.0,236.0,200.0
60247051,GAMLEBY,Chairs,295.0,No old price,True,https://www.ikea.com/sa/en/p/gamleby-chair-light-antique-stain-grey-60247051/,No,        Chair,Nike Karlsson,50.0,85.0,42.0
30323367,OXBERG,Bookcases & shelving units,200.0,No old price,True,https://www.ikea.com/sa/en/p/oxberg-glass-door-brown-ash-veneer-30323367/,Yes,"        Glass door,          40x192 cm",K Hagberg/M Hagberg,,192.0,40.0
49215693,LINNMON / GODVIN,Tables & desks,275.0,No old price,True,https://www.ikea.com/sa/en/p/linnmon-godvin-table-white-white-stained-oak-effect-white-s49215693/,No,"        Table,          150x75 cm",IKEA of Sweden,,74.0,75.0
79275138,HAVSTA,Cabinets & cupboards,2235.0,No old price,True,https://www.ikea.com/sa/en/p/havsta-storage-combination-white-s79275138/,Yes,"        Storage combination,          142x47x212 cm",IKEA of Sweden,47.0,212.0,142.0
